metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_req_sending,1693996014,0.042000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_waiting,1693996014,592.535000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_receiving,1693996014,0.020000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_failed,1693996014,0.000000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
checks,1693996014,1.000000,otp sent,,,,,,,,default,,,,,,,
http_reqs,1693996014,1.000000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_duration,1693996014,760.864000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_blocked,1693996014,30.392000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_connecting,1693996014,13.288000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_tls_handshaking,1693996014,17.051000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_sending,1693996014,0.063000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_waiting,1693996014,760.739000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_receiving,1693996014,0.062000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_failed,1693996014,0.000000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
checks,1693996014,1.000000,otp sent,,,,,,,,default,,,,,,,
http_reqs,1693996014,1.000000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_duration,1693996014,794.507000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_blocked,1693996014,30.351000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_connecting,1693996014,13.920000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_tls_handshaking,1693996014,16.395000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_sending,1693996014,0.042000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_waiting,1693996014,794.443000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_receiving,1693996014,0.022000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_failed,1693996014,0.000000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
checks,1693996014,1.000000,otp sent,,,,,,,,default,,,,,,,
vus,1693996014,1000.000000,,,,,,,,,,,,,,,,
vus_max,1693996014,1000.000000,,,,,,,,,,,,,,,,
http_reqs,1693996014,1.000000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_duration,1693996014,856.713000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_blocked,1693996014,42.127000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_connecting,1693996014,16.911000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_tls_handshaking,1693996014,25.173000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_sending,1693996014,0.038000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_waiting,1693996014,856.577000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_receiving,1693996014,0.098000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_failed,1693996014,0.000000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
checks,1693996014,1.000000,otp sent,,,,,,,,default,,,,,,,
http_reqs,1693996015,1.000000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_duration,1693996015,954.615000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_blocked,1693996015,21.119000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_connecting,1693996015,10.141000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_tls_handshaking,1693996015,10.917000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_sending,1693996015,0.062000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_waiting,1693996015,954.519000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_receiving,1693996015,0.034000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_failed,1693996015,0.000000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
checks,1693996015,1.000000,otp sent,,,,,,,,default,,,,,,,
http_reqs,1693996015,1.000000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_duration,1693996015,1049.149000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_blocked,1693996015,32.572000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_connecting,1693996015,17.830000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_tls_handshaking,1693996015,14.346000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_sending,1693996015,0.079000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_waiting,1693996015,1049.032000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
http_req_receiving,1693996015,0.038000,,,,true,,POST,https://antara-dev.in/users/v1/public/send-otp,HTTP/2.0,default,,201,,tls1.3,https://antara-dev.in/users/v1/public/send-otp,,
